year,province,district,old_district,new_district,cabinet_origin,cabinet_represents,gen_altered
2016,adana,saricam,0,1,1,1,0
2017,adana,saricam,0,1,1,1,0
2018,adana,saricam,0,1,1,1,0
2019,adana,saricam,0,1,0,0,0
2020,adana,saricam,0,1,0,0,0
2002,adana,seyhan,0,0,0,0,0
2003,adana,seyhan,0,0,0,0,0
2004,adana,seyhan,0,0,0,0,0
2005,adana,seyhan,0,0,0,0,0
2006,adana,seyhan,0,0,0,0,0
2007,adana,seyhan,0,0,0,0,0
2008,adana,seyhan,0,0,0,0,0
2009,adana,seyhan,0,0,0,0,0
2010,adana,seyhan,0,0,0,0,0
2011,adana,seyhan,0,0,0,0,0
2012,adana,seyhan,0,0,0,0,0
2013,adana,seyhan,0,0,1,1,0
2014,adana,seyhan,0,0,1,1,0
2015,adana,seyhan,0,0,1,1,0
2016,adana,seyhan,0,0,1,1,0
2017,adana,seyhan,0,0,1,1,0
2018,adana,seyhan,0,0,1,1,0
2019,adana,seyhan,0,0,0,0,0
2020,adana,seyhan,0,0,0,0,0
2002,adana,tufanbeyli,0,0,0,0,0
2003,adana,tufanbeyli,0,0,0,0,0
2004,adana,tufanbeyli,0,0,0,0,0
2005,adana,tufanbeyli,0,0,0,0,0
2006,adana,tufanbeyli,0,0,0,0,0
2007,adana,tufanbeyli,0,0,0,0,0
2008,adana,tufanbeyli,0,0,0,0,0
2009,adana,tufanbeyli,0,0,0,0,0
2010,adana,tufanbeyli,0,0,0,0,0
2011,adana,tufanbeyli,0,0,0,0,0
2012,adana,tufanbeyli,0,0,0,0,0
2013,adana,tufanbeyli,0,0,1,1,0
2014,adana,tufanbeyli,0,0,1,1,0
2015,adana,tufanbeyli,0,0,1,1,0
2016,adana,tufanbeyli,0,0,1,1,0
2017,adana,tufanbeyli,0,0,1,1,0
2018,adana,tufanbeyli,0,0,1,1,0
2019,adana,tufanbeyli,0,0,0,0,0
2020,adana,tufanbeyli,0,0,0,0,0
2002,adana,yumurtalik,0,0,0,0,0
2003,adana,yumurtalik,0,0,0,0,0
2004,adana,yumurtalik,0,0,0,0,0
2005,adana,yumurtalik,0,0,0,0,0
2006,adana,yumurtalik,0,0,0,0,0
2007,adana,yumurtalik,0,0,0,0,0
2008,adana,yumurtalik,0,0,0,0,0
2009,adana,yumurtalik,0,0,0,0,0
2010,adana,yumurtalik,0,0,0,0,0
2011,adana,yumurtalik,0,0,0,0,0
2012,adana,yumurtalik,0,0,0,0,0
2013,adana,yumurtalik,0,0,1,1,0
2014,adana,yumurtalik,0,0,1,1,0
2015,adana,yumurtalik,0,0,1,1,0
2016,adana,yumurtalik,0,0,1,1,0
