pdy,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
bingol_yedisu_2020,4721053.362392161,2983973.5436275755,4721053.362392161,2983973.5436275755,108,1,0,0,0,0,0,0,0,0,0,0,0,4721053.362392161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983973.5436275755,0,0,0,0,0,0
bitlis_adilcevaz_2007,12998684.228721566,15864976.371308016,12998684.228721566,15864976.371308016,400,1,0,0,12998684.228721566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15864976.371308016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_adilcevaz_2010,5014010.174545219,5959146.75442145,5014010.174545219,5959146.75442145,NA,2,0,0,0,0,0,0,909989.0230515917,0,0,0,0,4104021.151493627,0,0,0,0,0,0,0,0,0,0,0,0,1137954.7014413178,0,0,0,0,4821192.052980132,0,0,0,0,0,0
bitlis_adilcevaz_2013,16864031.446738433,19106253.177427553,16864031.446738433,19106253.177427553,302,1,0,0,0,0,0,0,0,0,0,0,0,16864031.446738433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19106253.177427553,0,0,0,0,0,0
bitlis_ahlat_2004,7050863.275781614,5221147.201105736,7050863.275781614,5221147.201105736,220,1,7050863.275781614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5221147.201105736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_ahlat_2011,7610524.583724794,9202824.133504493,7610524.583724794,9202824.133504493,72,1,0,0,0,0,0,0,0,0,0,0,0,7610524.583724794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9202824.133504493,0,0,0,0,0,0
bitlis_ahlat_2019,8835031.29425739,6685911.84096802,8835031.29425739,6685911.84096802,159,1,8835031.29425739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6685911.84096802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_guroymak_2011,3524299.114950448,3852838.9339513327,3524299.114950448,3852838.9339513327,192,1,0,0,3524299.114950448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3852838.9339513327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_hizan_2010,2987817.596554426,3509933.7748344373,2987817.596554426,3509933.7748344373,104,1,2987817.596554426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509933.7748344373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2003,8621553.88471178,5687830.6878306875,8621553.88471178,5687830.6878306875,288,1,8621553.88471178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5687830.6878306875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2005,7601233.061593228,6786293.568973981,7601233.061593228,6786293.568973981,NA,2,0,0,0,0,0,0,7601233.061593228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6786293.568973981,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2006,8203418.292791229,7662895.92760181,8203418.292791229,7662895.92760181,272,1,0,0,0,0,0,0,0,0,0,0,0,8203418.292791229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7662895.92760181,0,0,0,0,0,0
bitlis_merkez_2008,29703548.464538068,36420047.732696906,29703548.464538068,36420047.732696906,NA,2,0,0,0,0,0,0,12198049.609727297,0,0,0,0,17505498.85481077,0,0,0,0,0,0,0,0,0,0,0,0,14956245.027844075,0,0,0,0,21463802.704852827,0,0,0,0,0,0
bitlis_merkez_2009,152749.1797369048,167448.09109176154,152749.1797369048,167448.09109176154,NA,1,0,0,0,0,0,0,152749.1797369048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167448.09109176154,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2011,2884463.6258252016,3375796.178343949,2884463.6258252016,3375796.178343949,NA,1,0,0,0,0,0,0,2884463.6258252016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375796.178343949,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2012,53659163.67517221,61520022.246941045,53659163.67517221,61520022.246941045,948,2,0,0,0,0,0,0,21156980.692733094,0,0,0,0,32502182.98243912,0,0,0,0,0,0,0,0,0,0,0,0,24256395.99555061,0,0,0,0,37263626.251390435,0,0,0,0,0,0
bitlis_merkez_2013,294719.82514295564,353796.95155144256,294719.82514295564,353796.95155144256,NA,1,0,0,0,0,0,294719.82514295564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353796.95155144256,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2014,297216.34969181626,315305.5054151624,297216.34969181626,315305.5054151624,NA,1,0,0,0,0,0,297216.34969181626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315305.5054151624,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_merkez_2019,14516423.774498608,10985306.828003457,14516423.774498608,10985306.828003457,317,1,0,0,0,0,0,0,0,0,0,0,0,14516423.774498608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985306.828003457,0,0,0,0,0,0
bitlis_merkez_2020,7688514.154991234,5164161.6810156135,7688514.154991234,5164161.6810156135,190,1,7688514.154991234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5164161.6810156135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_mutki_2010,3192454.914959946,3750331.1258278145,3192454.914959946,3750331.1258278145,128,1,0,0,0,0,0,0,0,0,0,0,0,3192454.914959946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750331.1258278145,0,0,0,0,0,0
bitlis_mutki_2011,1686594.8634777924,1973885.3503184712,1686594.8634777924,1973885.3503184712,NA,1,0,0,0,0,0,0,1686594.8634777924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973885.3503184712,0,0,0,0,0,0,0,0,0,0,0
bitlis_tatvan_2003,8020050.125313283,5291005.291005291,8020050.125313283,5291005.291005291,256,1,8020050.125313283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5291005.291005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_tatvan_2007,13020328.095022528,14134165.366614664,13020328.095022528,14134165.366614664,272,1,13020328.095022528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14134165.366614664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitlis_tatvan_2010,7261128.597122302,8432767.624020888,7261128.597122302,8432767.624020888,NA,1,0,0,0,0,0,0,7261128.597122302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8432767.624020888,0,0,0,0,0,0,0,0,0,0,0
bitlis_tatvan_2011,25430341.247472096,30750962.772785623,25430341.247472096,30750962.772785623,NA,1,0,0,0,0,0,0,25430341.247472096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30750962.772785623,0,0,0,0,0,0,0,0,0,0,0
bolu_dortdivan_2011,3499083.1423752094,4080330.620346072,3499083.1423752094,4080330.620346072,NA,2,0,0,0,0,0,0,3499083.1423752094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080330.620346072,0,0,0,0,0,0,0,0,0,0,0
bolu_gerede_2008,4829908.57951117,5922036.595067622,4829908.57951117,5922036.595067622,160,1,0,0,0,0,0,0,0,0,0,0,0,4829908.57951117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5922036.595067622,0,0,0,0,0,0
