province,district,registered_voters,valid_votes,akp,chp,mhp,year,province_district
bingol,yedisu,1085,751,136,192,NA,2004,bingol_yedisu
bitlis,adilcevaz,7350,5256,2279,43,NA,2004,bitlis_adilcevaz
bitlis,ahlat,8519,6451,2491,522,662,2004,bitlis_ahlat
bitlis,guroymak,8693,5869,2436,30,NA,2004,bitlis_guroymak
bitlis,hizan,5315,3734,1278,919,NA,2004,bitlis_hizan
bitlis,merkez,19619,12883,3728,350,75,2004,bitlis_merkez
bitlis,mutki,1818,1278,508,NA,NA,2004,bitlis_mutki
bitlis,tatvan,27876,17052,6552,127,NA,2004,bitlis_tatvan
bolu,dortdivan,1518,1245,443,NA,29,2004,bolu_dortdivan
bolu,gerede,12342,9893,5804,NA,NA,2004,bolu_gerede
bolu,goynuk,2508,2016,990,70,113,2004,bolu_goynuk
bolu,kibriscik,1041,846,320,316,191,2004,bolu_kibriscik
bolu,mengen,3585,2728,559,760,572,2004,bolu_mengen
bolu,merkez,56137,42957,20307,16591,1567,2004,bolu_merkez
bolu,mudurnu,3531,2901,1417,1166,129,2004,bolu_mudurnu
bolu,seben,2498,2057,888,206,247,2004,bolu_seben
bolu,yenicaga,3573,2881,1631,NA,39,2004,bolu_yenicaga
bursa,buyukorhan,2134,1713,352,16,30,2004,bursa_buyukorhan
bursa,gemlik,49842,33666,10928,2849,3282,2004,bursa_gemlik
bursa,gursu,16934,12983,4752,3500,1223,2004,bursa_gursu
bursa,harmancik,2645,2091,705,946,401,2004,bursa_harmancik
bursa,inegol,66931,48431,20770,3915,9390,2004,bursa_inegol
bursa,iznik,15505,11775,4405,3291,833,2004,bursa_iznik
bursa,karacabey,28976,22529,7904,490,488,2004,bursa_karacabey
bursa,keles,2788,2274,1019,107,20,2004,bursa_keles
bursa,kestel,20827,16022,4387,3623,576,2004,bursa_kestel
bursa,mudanya,17344,12455,3247,3511,266,2004,bursa_mudanya
bursa,mustafakemalpasa,33293,25053,8019,3368,990,2004,bursa_mustafakemalpasa
bursa,nilufer,94196,66542,26515,29652,2068,2004,bursa_nilufer
bursa,orhaneli,6453,5073,1802,396,1586,2004,bursa_orhaneli
bursa,orhangazi,29303,23657,9635,277,2626,2004,bursa_orhangazi
bursa,osmangazi,402110,279839,157252,51712,9519,2004,bursa_osmangazi
bursa,yenisehir,17764,13840,7607,2008,338,2004,bursa_yenisehir
bursa,yildirim,324027,224683,108257,25505,8786,2004,bursa_yildirim
canakkale,ayvacik,5129,4364,1705,1678,248,2004,canakkale_ayvacik
canakkale,bayramic,9005,7376,1901,2800,1045,2004,canakkale_bayramic
canakkale,biga,19869,15008,7467,5951,559,2004,canakkale_biga
canakkale,bozcaada,1867,1497,388,495,7,2004,canakkale_bozcaada
canakkale,can,19345,16195,6941,7337,766,2004,canakkale_can
canakkale,eceabat,3537,2882,707,766,24,2004,canakkale_eceabat
canakkale,ezine,9174,7353,1432,1662,2326,2004,canakkale_ezine
canakkale,gelibolu,15402,12170,1887,4018,1105,2004,canakkale_gelibolu
canakkale,gokceada,3121,2504,875,428,1180,2004,canakkale_gokceada
canakkale,lapseki,6899,5272,2647,1222,134,2004,canakkale_lapseki
canakkale,merkez,54036,35780,13483,16033,1506,2004,canakkale_merkez
canakkale,yenice,4939,3990,2056,658,172,2004,canakkale_yenice
cankiri,atkaracalar,3227,2427,585,NA,449,2004,cankiri_atkaracalar
cankiri,bayramoren,842,620,290,NA,322,2004,cankiri_bayramoren
cankiri,cerkes,7930,6221,1176,629,1980,2004,cankiri_cerkes
cankiri,eldivan,2672,2200,870,NA,697,2004,cankiri_eldivan
cankiri,ilgaz,6022,4478,2572,NA,1800,2004,cankiri_ilgaz
cankiri,kizilirmak,2699,2216,696,14,940,2004,cankiri_kizilirmak
cankiri,korgun,1300,1061,565,NA,465,2004,cankiri_korgun
cankiri,kursunlu,3333,2634,661,601,993,2004,cankiri_kursunlu
cankiri,merkez,37548,29233,16891,702,9702,2004,cankiri_merkez
cankiri,orta,2617,2139,1085,NA,94,2004,cankiri_orta
cankiri,sabanozu,2860,2369,1240,973,99,2004,cankiri_sabanozu
cankiri,yaprakli,1297,1075,674,NA,19,2004,cankiri_yaprakli
corum,alaca,13994,10597,4464,171,5550,2004,corum_alaca
corum,bayat,5438,4365,2436,NA,1876,2004,corum_bayat
corum,bogazkale,1690,1327,721,NA,21,2004,corum_bogazkale
corum,dodurga,2435,1953,791,194,171,2004,corum_dodurga
corum,iskilip,13827,11081,6698,NA,4140,2004,corum_iskilip
corum,kargi,4168,3405,1173,911,NA,2004,corum_kargi
corum,lacin,1213,999,628,331,10,2004,corum_lacin
corum,mecitozu,5119,3925,1114,1128,824,2004,corum_mecitozu
corum,merkez,113923,85325,38940,28998,2806,2004,corum_merkez
corum,oguzlar,2810,2358,838,607,367,2004,corum_oguzlar
corum,ortakoy,2770,2280,964,1063,245,2004,corum_ortakoy
corum,osmancik,16353,12845,5579,2266,3820,2004,corum_osmancik
corum,sungurlu,21463,15908,7118,4142,3220,2004,corum_sungurlu
corum,ugurludag,3060,2641,1280,NA,NA,2004,corum_ugurludag
denizli,acipayam,7971,6508,1076,2405,97,2004,denizli_acipayam
denizli,akkoy,2278,1870,744,433,NA,2004,denizli_akkoy
denizli,babadag,3650,3065,1640,736,154,2004,denizli_babadag
denizli,baklan,2238,1932,699,300,NA,2004,denizli_baklan
denizli,bekilli,3107,2471,1421,976,NA,2004,denizli_bekilli
denizli,beyagac,2240,1938,1220,547,NA,2004,denizli_beyagac
denizli,bozkurt,3079,2430,496,747,531,2004,denizli_bozkurt
denizli,buldan,10700,8978,2399,1768,2910,2004,denizli_buldan
denizli,cal,3721,2898,1286,911,161,2004,denizli_cal
denizli,cameli,2079,1722,797,757,9,2004,denizli_cameli
denizli,cardak,3217,2609,970,816,NA,2004,denizli_cardak
denizli,civril,9588,7722,3431,3394,500,2004,denizli_civril
denizli,guney,5326,4333,1234,1622,56,2004,denizli_guney
denizli,honaz,5534,4743,NA,1798,35,2004,denizli_honaz
denizli,kale,4686,3917,1347,712,762,2004,denizli_kale
denizli,merkez,172278,127276,65563,34907,3531,2004,denizli_merkez
denizli,saraykoy,11270,9378,3245,4721,158,2004,denizli_saraykoy
denizli,serinhisar,7611,6462,1313,1976,1893,2004,denizli_serinhisar
