year,province,district,province_district,year_province_district,population
2020,bayburt,merkez,bayburt_merkez,2020_bayburt_merkez,70909
2002,bilecik,bozuyuk,bilecik_bozuyuk,2002_bilecik_bozuyuk,62232
2003,bilecik,bozuyuk,bilecik_bozuyuk,2003_bilecik_bozuyuk,62689
2004,bilecik,bozuyuk,bilecik_bozuyuk,2004_bilecik_bozuyuk,63145
2005,bilecik,bozuyuk,bilecik_bozuyuk,2005_bilecik_bozuyuk,63601
2006,bilecik,bozuyuk,bilecik_bozuyuk,2006_bilecik_bozuyuk,64058
2007,bilecik,bozuyuk,bilecik_bozuyuk,2007_bilecik_bozuyuk,64514
2008,bilecik,bozuyuk,bilecik_bozuyuk,2008_bilecik_bozuyuk,65369
2009,bilecik,bozuyuk,bilecik_bozuyuk,2009_bilecik_bozuyuk,65799
2010,bilecik,bozuyuk,bilecik_bozuyuk,2010_bilecik_bozuyuk,66255
2011,bilecik,bozuyuk,bilecik_bozuyuk,2011_bilecik_bozuyuk,67524
2012,bilecik,bozuyuk,bilecik_bozuyuk,2012_bilecik_bozuyuk,67752
2013,bilecik,bozuyuk,bilecik_bozuyuk,2013_bilecik_bozuyuk,69282
2014,bilecik,bozuyuk,bilecik_bozuyuk,2014_bilecik_bozuyuk,69764
2015,bilecik,bozuyuk,bilecik_bozuyuk,2015_bilecik_bozuyuk,70725
2016,bilecik,bozuyuk,bilecik_bozuyuk,2016_bilecik_bozuyuk,72471
2017,bilecik,bozuyuk,bilecik_bozuyuk,2017_bilecik_bozuyuk,73085
2018,bilecik,bozuyuk,bilecik_bozuyuk,2018_bilecik_bozuyuk,74441
2019,bilecik,bozuyuk,bilecik_bozuyuk,2019_bilecik_bozuyuk,75566
2020,bilecik,bozuyuk,bilecik_bozuyuk,2020_bilecik_bozuyuk,76691
2002,bilecik,golpazari,bilecik_golpazari,2002_bilecik_golpazari,12958
2003,bilecik,golpazari,bilecik_golpazari,2003_bilecik_golpazari,12739
2004,bilecik,golpazari,bilecik_golpazari,2004_bilecik_golpazari,12519
2005,bilecik,golpazari,bilecik_golpazari,2005_bilecik_golpazari,12299
2006,bilecik,golpazari,bilecik_golpazari,2006_bilecik_golpazari,12080
2007,bilecik,golpazari,bilecik_golpazari,2007_bilecik_golpazari,11860
2008,bilecik,golpazari,bilecik_golpazari,2008_bilecik_golpazari,11809
2009,bilecik,golpazari,bilecik_golpazari,2009_bilecik_golpazari,12403
2010,bilecik,golpazari,bilecik_golpazari,2010_bilecik_golpazari,16016
2011,bilecik,golpazari,bilecik_golpazari,2011_bilecik_golpazari,11504
2012,bilecik,golpazari,bilecik_golpazari,2012_bilecik_golpazari,10955
2013,bilecik,golpazari,bilecik_golpazari,2013_bilecik_golpazari,10095
2014,bilecik,golpazari,bilecik_golpazari,2014_bilecik_golpazari,10016
2015,bilecik,golpazari,bilecik_golpazari,2015_bilecik_golpazari,10820
2016,bilecik,golpazari,bilecik_golpazari,2016_bilecik_golpazari,11499
2017,bilecik,golpazari,bilecik_golpazari,2017_bilecik_golpazari,11546
2018,bilecik,golpazari,bilecik_golpazari,2018_bilecik_golpazari,10591
2019,bilecik,golpazari,bilecik_golpazari,2019_bilecik_golpazari,10464
2020,bilecik,golpazari,bilecik_golpazari,2020_bilecik_golpazari,10337
2002,bilecik,inhisar,bilecik_inhisar,2002_bilecik_inhisar,5620
2003,bilecik,inhisar,bilecik_inhisar,2003_bilecik_inhisar,5273
2004,bilecik,inhisar,bilecik_inhisar,2004_bilecik_inhisar,4926
2005,bilecik,inhisar,bilecik_inhisar,2005_bilecik_inhisar,4579
2006,bilecik,inhisar,bilecik_inhisar,2006_bilecik_inhisar,4232
2007,bilecik,inhisar,bilecik_inhisar,2007_bilecik_inhisar,3885
2008,bilecik,inhisar,bilecik_inhisar,2008_bilecik_inhisar,3503
2009,bilecik,inhisar,bilecik_inhisar,2009_bilecik_inhisar,3307
2010,bilecik,inhisar,bilecik_inhisar,2010_bilecik_inhisar,3126
2011,bilecik,inhisar,bilecik_inhisar,2011_bilecik_inhisar,2946
2012,bilecik,inhisar,bilecik_inhisar,2012_bilecik_inhisar,2832
2013,bilecik,inhisar,bilecik_inhisar,2013_bilecik_inhisar,2807
2014,bilecik,inhisar,bilecik_inhisar,2014_bilecik_inhisar,2610
2015,bilecik,inhisar,bilecik_inhisar,2015_bilecik_inhisar,2409
2016,bilecik,inhisar,bilecik_inhisar,2016_bilecik_inhisar,2334
2017,bilecik,inhisar,bilecik_inhisar,2017_bilecik_inhisar,2254
2018,bilecik,inhisar,bilecik_inhisar,2018_bilecik_inhisar,2981
2019,bilecik,inhisar,bilecik_inhisar,2019_bilecik_inhisar,2414
2020,bilecik,inhisar,bilecik_inhisar,2020_bilecik_inhisar,1847
2002,bilecik,merkez,bilecik_merkez,2002_bilecik_merkez,56734
2003,bilecik,merkez,bilecik_merkez,2003_bilecik_merkez,58002
2004,bilecik,merkez,bilecik_merkez,2004_bilecik_merkez,59270
2005,bilecik,merkez,bilecik_merkez,2005_bilecik_merkez,60539
2006,bilecik,merkez,bilecik_merkez,2006_bilecik_merkez,61807
2007,bilecik,merkez,bilecik_merkez,2007_bilecik_merkez,63075
2008,bilecik,merkez,bilecik_merkez,2008_bilecik_merkez,56583
2009,bilecik,merkez,bilecik_merkez,2009_bilecik_merkez,62823
2010,bilecik,merkez,bilecik_merkez,2010_bilecik_merkez,78258
2011,bilecik,merkez,bilecik_merkez,2011_bilecik_merkez,65459
2012,bilecik,merkez,bilecik_merkez,2012_bilecik_merkez,66887
2013,bilecik,merkez,bilecik_merkez,2013_bilecik_merkez,71072
2014,bilecik,merkez,bilecik_merkez,2014_bilecik_merkez,72611
2015,bilecik,merkez,bilecik_merkez,2015_bilecik_merkez,74019
2016,bilecik,merkez,bilecik_merkez,2016_bilecik_merkez,77976
2017,bilecik,merkez,bilecik_merkez,2017_bilecik_merkez,80065
2018,bilecik,merkez,bilecik_merkez,2018_bilecik_merkez,81723
2019,bilecik,merkez,bilecik_merkez,2019_bilecik_merkez,78533
2020,bilecik,merkez,bilecik_merkez,2020_bilecik_merkez,75343
2002,bilecik,osmaneli,bilecik_osmaneli,2002_bilecik_osmaneli,21052
2003,bilecik,osmaneli,bilecik_osmaneli,2003_bilecik_osmaneli,21046
2004,bilecik,osmaneli,bilecik_osmaneli,2004_bilecik_osmaneli,21040
2005,bilecik,osmaneli,bilecik_osmaneli,2005_bilecik_osmaneli,21034
2006,bilecik,osmaneli,bilecik_osmaneli,2006_bilecik_osmaneli,21028
2007,bilecik,osmaneli,bilecik_osmaneli,2007_bilecik_osmaneli,21022
2008,bilecik,osmaneli,bilecik_osmaneli,2008_bilecik_osmaneli,21094
2009,bilecik,osmaneli,bilecik_osmaneli,2009_bilecik_osmaneli,21050
2010,bilecik,osmaneli,bilecik_osmaneli,2010_bilecik_osmaneli,20912
2011,bilecik,osmaneli,bilecik_osmaneli,2011_bilecik_osmaneli,21299
2012,bilecik,osmaneli,bilecik_osmaneli,2012_bilecik_osmaneli,21274
2013,bilecik,osmaneli,bilecik_osmaneli,2013_bilecik_osmaneli,21195
2014,bilecik,osmaneli,bilecik_osmaneli,2014_bilecik_osmaneli,20934
2015,bilecik,osmaneli,bilecik_osmaneli,2015_bilecik_osmaneli,21106
2016,bilecik,osmaneli,bilecik_osmaneli,2016_bilecik_osmaneli,21071
2017,bilecik,osmaneli,bilecik_osmaneli,2017_bilecik_osmaneli,20973
2018,bilecik,osmaneli,bilecik_osmaneli,2018_bilecik_osmaneli,20976
2019,bilecik,osmaneli,bilecik_osmaneli,2019_bilecik_osmaneli,21105
2020,bilecik,osmaneli,bilecik_osmaneli,2020_bilecik_osmaneli,21234
2002,bilecik,pazaryeri,bilecik_pazaryeri,2002_bilecik_pazaryeri,12916
2003,bilecik,pazaryeri,bilecik_pazaryeri,2003_bilecik_pazaryeri,12790
2004,bilecik,pazaryeri,bilecik_pazaryeri,2004_bilecik_pazaryeri,12663
2005,bilecik,pazaryeri,bilecik_pazaryeri,2005_bilecik_pazaryeri,12536
2006,bilecik,pazaryeri,bilecik_pazaryeri,2006_bilecik_pazaryeri,12410
2007,bilecik,pazaryeri,bilecik_pazaryeri,2007_bilecik_pazaryeri,12283
2008,bilecik,pazaryeri,bilecik_pazaryeri,2008_bilecik_pazaryeri,11722
2009,bilecik,pazaryeri,bilecik_pazaryeri,2009_bilecik_pazaryeri,11477
2010,bilecik,pazaryeri,bilecik_pazaryeri,2010_bilecik_pazaryeri,11580
2011,bilecik,pazaryeri,bilecik_pazaryeri,2011_bilecik_pazaryeri,11383
2012,bilecik,pazaryeri,bilecik_pazaryeri,2012_bilecik_pazaryeri,11263
2013,bilecik,pazaryeri,bilecik_pazaryeri,2013_bilecik_pazaryeri,11233
2014,bilecik,pazaryeri,bilecik_pazaryeri,2014_bilecik_pazaryeri,11099
2015,bilecik,pazaryeri,bilecik_pazaryeri,2015_bilecik_pazaryeri,10713
2016,bilecik,pazaryeri,bilecik_pazaryeri,2016_bilecik_pazaryeri,10583
2017,bilecik,pazaryeri,bilecik_pazaryeri,2017_bilecik_pazaryeri,11086
2018,bilecik,pazaryeri,bilecik_pazaryeri,2018_bilecik_pazaryeri,10527
2019,bilecik,pazaryeri,bilecik_pazaryeri,2019_bilecik_pazaryeri,10301
2020,bilecik,pazaryeri,bilecik_pazaryeri,2020_bilecik_pazaryeri,10075
2002,bilecik,sogut,bilecik_sogut,2002_bilecik_sogut,21804
2003,bilecik,sogut,bilecik_sogut,2003_bilecik_sogut,22080
