pdym,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
istanbul_kadikoy_2004_7,52260381.18037013,38585995.92114208,52260381.18037013,38585995.92114208,800,1,0,0,0,0,0,0,0,0,0,0,52260381.18037013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38585995.92114208,0,0,0,0,0,0,0
istanbul_kadikoy_2009_5,1682385.8369704671,1751218.5303514379,1682385.8369704671,1751218.5303514379,10,1,1682385.8369704671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751218.5303514379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
istanbul_kadikoy_2016_3,10946830.658652952,10201784.307065217,10946830.658652952,10201784.307065217,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10946830.658652952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10201784.307065217,0,0,0,0
istanbul_kadikoy_2017_1,34128902.74916249,27959902.465456516,34128902.74916249,27959902.465456516,NA,1,0,0,0,0,34128902.74916249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27959902.465456516,0,0,0,0,0,0,0,0,0,0,0,0,0
istanbul_kagithane_2009_10,78139740.56603774,89483457.12356515,78139740.56603774,89483457.12356515,NA,1,0,0,0,0,0,0,78139740.56603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89483457.12356515,0,0,0,0,0,0,0,0,0,0,0
istanbul_kagithane_2014_1,3028665.98323174,3212996.3898916966,3028665.98323174,3212996.3898916966,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028665.98323174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212996.3898916966,0,0
istanbul_kagithane_2015_7,2331074.614295012,2141751.670770313,2331074.614295012,2141751.670770313,NA,1,0,0,0,0,0,0,2331074.614295012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141751.670770313,0,0,0,0,0,0,0,0,0,0,0
istanbul_kartal_2019_3,7067670.677206944,5273558.499720097,7067670.677206944,5273558.499720097,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7067670.677206944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5273558.499720097,0,0
istanbul_kucukcekmece_2004_3,1497530.969509132,1189759.0361445784,1497530.969509132,1189759.0361445784,NA,1,0,0,0,0,0,0,1497530.969509132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189759.0361445784,0,0,0,0,0,0,0,0,0,0,0
istanbul_kucukcekmece_2005_10,53783666.12729677,48503703.7037037,53783666.12729677,48503703.7037037,NA,1,0,0,0,0,0,0,53783666.12729677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48503703.7037037,0,0,0,0,0,0,0,0,0,0,0
istanbul_kucukcekmece_2005_7,851267.0648464164,747329.5880149812,851267.0648464164,747329.5880149812,NA,1,0,0,0,0,0,0,851267.0648464164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747329.5880149812,0,0,0,0,0,0,0,0,0,0,0
istanbul_kucukcekmece_2005_8,403156.1433447099,353931.8352059925,403156.1433447099,353931.8352059925,NA,1,0,0,0,0,0,0,403156.1433447099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353931.8352059925,0,0,0,0,0,0,0,0,0,0,0
istanbul_kucukcekmece_2005_9,22349388.225255974,19620586.516853932,22349388.225255974,19620586.516853932,360,1,0,0,0,0,0,0,0,0,0,0,22349388.225255974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19620586.516853932,0,0,0,0,0,0,0
istanbul_kucukcekmece_2006_1,5994009.510507577,5599064.856711916,5994009.510507577,5599064.856711916,NA,1,0,0,0,0,0,0,5994009.510507577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5599064.856711916,0,0,0,0,0,0,0,0,0,0,0
istanbul_kucukcekmece_2006_12,60849730.39270677,56113103.448275864,60849730.39270677,56113103.448275864,1892,2,60849730.39270677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56113103.448275864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
