province,year,registered_voters,attended_voters,valid_votes,emep,dsp,anap,btp,akp,bbp,ip,tkp,dyp,atp,millet_partisi,chp,genc_parti,ytp,shp,sp,dp,mhp,independent,anavatan,ldp,dtp,hak_par,millet,odp,hyp,huda_par,turk_parti,hkp,yurt_p,bdp,hdp,hepar,vatan_partisi,iyi_parti
balikesir,2014,886591,809897,775541,NA,2663,NA,889,308267,3928,0,0,1234,NA,NA,196270,NA,NA,NA,8169,0,245291,0,NA,0,NA,607,957,NA,NA,0,0,1015,0,0,6251,0,NA,NA
bursa,2014,1982873,1799299,1721849,NA,2873,NA,2868,852745,9447,2172,1006,3754,NA,NA,494890,NA,NA,NA,35665,8796,264358,1151,NA,407,NA,1212,1114,NA,NA,0,1467,1697,3571,0,28777,3879,NA,NA
denizli,2014,698884,647355,613195,NA,653,NA,632,277178,5450,968,255,1301,NA,NA,237751,NA,NA,NA,2870,3999,72638,813,NA,168,NA,490,375,NA,NA,0,634,616,0,0,6404,0,NA,NA
diyarbakir,2014,924677,760516,720619,NA,467,NA,5789,252065,7099,506,0,405,NA,NA,8610,NA,NA,NA,6593,0,4677,313,NA,0,NA,3188,0,NA,NA,33256,503,0,0,397148,0,0,NA,NA
erzurum,2014,483198,416732,402555,NA,0,NA,864,236886,3644,214,0,308,NA,NA,6297,NA,NA,NA,9331,1291,116494,1108,NA,0,NA,529,0,NA,NA,0,0,493,0,25096,0,0,NA,NA
eskisehir,2014,602309,546580,524710,NA,2073,NA,513,204906,6697,0,0,641,NA,NA,237414,NA,NA,NA,4638,2985,58746,425,NA,143,NA,335,374,NA,NA,0,0,397,0,0,3493,930,NA,NA
gaziantep,2014,1092935,935600,898658,NA,879,NA,2569,490398,9612,0,0,2130,NA,NA,192986,NA,NA,NA,25266,7807,106881,1192,NA,0,NA,1235,720,NA,NA,0,0,1072,0,55911,0,0,NA,NA
hatay,2014,968877,864537,839505,NA,587,NA,878,339411,2334,0,0,319,NA,NA,344301,NA,NA,NA,7012,0,129400,513,NA,0,NA,434,865,NA,NA,0,0,635,0,0,11194,1622,NA,NA
istanbul,2014,10002256,8941326,8553814,NA,7221,NA,10717,4101906,47514,15275,7524,2344,NA,NA,3428454,NA,NA,NA,122950,5604,339785,3921,NA,1430,NA,7371,2311,NA,NA,0,0,4352,16614,0,414290,14231,NA,NA
izmir,2014,3032175,2740602,2637550,NA,13979,NA,2951,947516,12735,10755,2246,2247,NA,NA,1308134,NA,NA,NA,13813,4559,210272,1814,NA,549,NA,2140,940,NA,NA,0,2160,2407,3204,0,88797,6332,NA,NA
kahramanmaras,2014,685013,617006,594803,NA,0,NA,762,349891,6860,395,0,286,NA,NA,37573,NA,NA,NA,7441,1241,181180,0,NA,0,NA,498,294,NA,NA,0,0,642,0,0,7740,0,NA,NA
kayseri,2014,877377,795638,765168,NA,0,NA,1143,450748,16684,478,0,438,NA,NA,68141,NA,NA,NA,13173,2285,206569,849,NA,200,NA,609,500,NA,NA,0,0,718,0,0,2633,0,NA,NA
kocaeli,2014,1178676,1075800,1025139,NA,968,NA,1441,518639,6528,925,0,654,NA,NA,268150,NA,NA,NA,50873,3570,144029,883,NA,225,NA,896,547,NA,NA,0,0,750,0,0,24235,1826,NA,NA
konya,2014,1402056,1265031,1206204,NA,684,NA,1402,775164,10531,1210,0,962,NA,NA,69272,NA,NA,NA,90115,4559,222640,1253,NA,0,NA,1406,982,NA,NA,0,0,1309,0,23490,0,1225,NA,NA
malatya,2014,524621,457515,444973,NA,227,NA,781,274185,2134,396,0,191,NA,NA,79006,NA,NA,NA,43984,0,34090,780,NA,50,NA,360,1480,NA,NA,0,0,313,0,0,6996,0,NA,NA
manisa,2014,996258,928454,884968,NA,834,NA,1334,324903,4355,982,0,1046,NA,NA,161770,NA,NA,NA,6800,3522,354944,0,NA,0,NA,912,589,NA,NA,0,0,1187,0,0,21790,0,NA,NA
mardin,2014,429381,360151,346133,NA,217,NA,7084,129325,4074,323,0,275,NA,NA,3177,NA,NA,NA,8851,0,3236,180697,NA,290,NA,767,0,NA,NA,7817,0,0,0,0,0,0,NA,NA
mersin,2014,1186769,1061530,1014978,NA,738,NA,1870,284273,3967,1757,0,798,NA,NA,287561,NA,NA,NA,6479,2705,324257,0,NA,520,NA,658,517,NA,NA,0,0,921,0,97957,0,0,NA,NA
mugla,2014,641464,581694,555390,NA,0,NA,800,160937,2788,0,0,4760,NA,NA,272803,NA,NA,NA,2089,0,100035,0,NA,250,NA,613,1028,NA,NA,0,0,580,0,0,8707,0,NA,NA
ordu,2014,535833,465633,440656,NA,1841,NA,660,239717,3743,0,0,0,NA,NA,150429,NA,NA,NA,4529,1510,35879,599,NA,0,NA,0,0,NA,NA,0,0,666,0,0,1083,0,NA,NA
sakarya,2014,651613,596154,571968,NA,403,NA,597,331138,4216,455,354,490,NA,NA,52869,NA,NA,NA,17606,2110,153192,1246,NA,126,NA,534,0,NA,NA,0,424,610,0,0,4659,939,NA,NA
samsun,2014,907487,810372,770285,NA,673,NA,883,422373,4136,785,0,918,NA,NA,122312,NA,NA,NA,13806,3418,194246,916,NA,323,NA,0,613,NA,NA,0,803,985,0,0,1555,1540,NA,NA
sanliurfa,2014,935583,813950,784419,NA,331,NA,3333,483407,4110,331,0,0,NA,NA,6812,NA,NA,NA,17760,0,18657,0,NA,1197,NA,1092,1231,NA,NA,6595,0,0,0,239563,0,0,NA,NA
tekirdag,2014,635473,576799,550376,NA,2285,NA,535,204353,3618,877,0,0,NA,NA,251817,NA,NA,NA,3171,3040,69717,343,NA,119,NA,331,267,NA,NA,0,0,426,0,0,9477,0,NA,NA
trabzon,2014,552194,478707,461027,NA,239,NA,1522,273812,2236,330,0,961,NA,NA,114807,NA,NA,NA,12871,0,51349,634,NA,127,NA,0,672,NA,NA,0,474,520,0,0,473,0,NA,NA
van,2014,577899,473174,450965,NA,0,NA,3241,185783,2362,382,0,0,NA,NA,3502,NA,NA,NA,5938,1892,3352,0,NA,0,NA,1397,0,NA,NA,3255,0,0,0,239861,0,0,NA,NA
adana,2019,1536508,1279796,1223105,NA,6298,NA,3161,0,NA,NA,2529,NA,NA,NA,656704,NA,NA,NA,23214,0,523751,1684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5764,0
ankara,2019,3925129,3362641,3263648,NA,9706,NA,5576,1538410,NA,NA,4629,NA,NA,NA,1662209,NA,NA,NA,34182,0,0,2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6238,0
antalya,2019,1708975,1456390,1411011,NA,13477,NA,2071,652882,NA,NA,2135,NA,NA,NA,714302,NA,NA,NA,13601,8073,0,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3711,0
aydin,2019,821282,709289,683704,NA,4188,NA,1302,299056,NA,NA,1836,NA,NA,NA,368791,NA,NA,NA,5641,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2890,0
balikesir,2019,942830,817225,785432,NA,5880,NA,2144,375539,NA,NA,1381,NA,NA,NA,0,NA,NA,NA,7810,12654,0,1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10197,NA,3425,365333
bursa,2019,2177764,1869050,1810393,NA,5975,NA,3545,898430,NA,NA,1451,NA,NA,NA,851377,NA,NA,NA,32589,11747,0,1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4024,0
denizli,2019,755160,665945,636308,NA,4393,NA,1768,321932,NA,NA,1015,NA,NA,NA,0,NA,NA,NA,4955,6985,0,4346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8833,NA,2427,279654
diyarbakir,2019,1049462,824904,779593,NA,4378,NA,1425,241633,NA,NA,909,NA,NA,NA,14270,NA,NA,NA,15789,0,0,10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490571,NA,521,0
erzurum,2019,498556,405591,384917,NA,866,NA,1902,241789,NA,NA,629,NA,NA,NA,9331,NA,NA,NA,8668,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23167,NA,620,97945
eskisehir,2019,651738,560763,546269,NA,4296,NA,872,246582,NA,NA,602,NA,NA,NA,285688,NA,NA,NA,6579,0,0,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1162,0
gaziantep,2019,1228873,966758,917080,NA,240313,NA,4125,494906,NA,NA,2345,NA,NA,NA,0,NA,NA,NA,17359,0,0,4022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3179,150831
hatay,2019,1068544,913730,888857,NA,6213,NA,1140,380455,NA,NA,818,NA,NA,NA,490431,NA,NA,NA,7547,0,0,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1829,0
istanbul,2019,10570939,8865072,8549822,NA,30884,NA,27087,4156036,NA,NA,10349,NA,NA,NA,4169765,NA,NA,NA,103364,22252,0,14657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15428,0
izmir,2019,3253745,2740742,2667297,NA,20509,NA,3956,1032359,NA,NA,8061,NA,NA,NA,1550192,NA,NA,NA,30180,11209,0,2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7963,0
kahramanmaras,2019,755248,656611,624585,NA,7628,NA,5412,422222,NA,NA,888,NA,NA,NA,170407,NA,NA,NA,13145,0,0,3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1857,0
kayseri,2019,957078,820938,789750,NA,3218,NA,4031,500621,NA,NA,1361,NA,NA,NA,0,NA,NA,NA,21688,0,0,2962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4542,NA,2380,248947
kocaeli,2019,1350376,1151218,1098319,NA,10876,NA,4692,610507,NA,NA,3470,NA,NA,NA,0,NA,NA,NA,54640,6143,0,4234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41870,NA,2827,359060
konya,2019,1522655,1285194,1218037,NA,6486,NA,8623,859115,NA,NA,3690,NA,NA,NA,0,NA,NA,NA,50099,5647,0,8368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26589,NA,3423,245997
malatya,2019,562216,464819,446292,NA,1345,NA,1482,305588,NA,NA,625,NA,NA,NA,103690,NA,NA,NA,23709,1651,0,1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6555,NA,618,0
manisa,2019,1054034,933133,873021,NA,6626,NA,4290,0,NA,NA,2888,NA,NA,NA,0,NA,NA,NA,10098,12014,460671,2324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37919,NA,3853,332338
mardin,2019,484657,390707,371334,NA,760,NA,615,143060,NA,NA,399,NA,NA,NA,6781,NA,NA,NA,4258,1102,0,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208854,NA,154,4078
mersin,2019,1282874,1094234,1057902,NA,4719,NA,1939,0,NA,NA,2187,NA,NA,NA,477020,NA,NA,NA,7202,127168,433669,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3998,0
mugla,2019,726497,627276,603862,NA,5148,NA,18753,171621,NA,NA,1406,NA,NA,NA,217476,NA,NA,NA,3335,22978,0,161045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2100,0
ordu,2019,581656,497766,474904,NA,1788,NA,1473,270377,NA,NA,903,NA,NA,NA,73468,NA,NA,NA,124114,1337,0,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1037,0
sakarya,2019,717495,621122,594535,NA,2621,NA,4245,386700,NA,NA,1137,NA,NA,NA,0,NA,NA,NA,23108,3346,0,1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6147,NA,1392,164246
samsun,2019,971700,838085,800171,NA,4592,NA,13437,379150,NA,NA,1524,NA,NA,NA,0,NA,NA,NA,12323,5191,0,168667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1729,213558
sanliurfa,2019,1095282,893936,848816,NA,7843,NA,6284,516202,NA,NA,2614,NA,NA,NA,0,NA,NA,NA,308510,0,0,4036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3327,0
tekirdag,2019,750441,640044,621778,NA,7008,NA,921,272581,NA,NA,1044,NA,NA,NA,318412,NA,NA,NA,6181,2258,0,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11699,NA,1156,0
trabzon,2019,594912,497876,475451,NA,2117,NA,2821,307167,NA,NA,950,NA,NA,NA,0,NA,NA,NA,15502,3747,0,1391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1335,140421
van,2019,654040,512563,483905,NA,1898,NA,680,196040,NA,NA,727,NA,NA,NA,9191,NA,NA,NA,9081,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260609,NA,447,5232
